"auto_id","quoteid","source","invoice_id","trams_remarks","total_amount","trams_received_amount","reference_no","balance_amount","payment_method","process_date","modified_date","modified_by","pay_type","added_on","added_by","cleared_date","cleared_by","is_reconciliated"
"849","2351342",,NULL,"Fast Transfer From BHAUMIKKUMAR PATEL",,"508","TDU31898 ",NULL,"12","2025-06-19 00:00:00",NULL,,"Bank transfer ","2025-06-23 17:48:18","Arya Prajapati",NULL,NULL,NULL
"850","2350587","final",NULL,NULL,"20014",NULL,NULL,NULL,,NULL,NULL,,,"2025-06-23 19:04:46","Rachana Hingorani",NULL,NULL,NULL
"852","2351269",,NULL,"MAKEMYTRIP INDIA PRIVATE LIMITED",,"92","TDU31845",NULL,"12","2025-06-23 00:00:00",NULL,,"Bank transfer ","2025-06-24 16:53:36","Arya Prajapati",NULL,NULL,NULL
"853","2351125","initial",NULL,NULL,"3851.1",NULL,NULL,NULL,,NULL,NULL,,,"2025-06-25 11:23:39","Maharshi Mankodi",NULL,NULL,NULL
"856","2350853",,NULL,"FLYREMIT PRIVATE LIMITED",,"7013","TDU31562 ",NULL,"12","2025-06-24 00:00:00",NULL,,"Bank transfer ","2025-06-26 17:42:04","Arya Prajapati",NULL,NULL,NULL
"857","2350651","final",NULL,NULL,"6767",NULL,NULL,NULL,,NULL,NULL,,,"2025-06-26 17:59:25","Job Mathew",NULL,NULL,NULL
"858","2351289","final",NULL,NULL,"4674",NULL,NULL,NULL,,NULL,NULL,,,"2025-06-26 18:04:08","Job Mathew",NULL,NULL,NULL
"859","2350449",,NULL,"WILLIE TARA transfer ",,"10862","TDU31255",NULL,"12","2025-06-27 00:00:00",NULL,,"Bank transfer ","2025-06-27 22:15:41","Arya Prajapati",NULL,NULL,NULL
"860","2350449","final",NULL,NULL,"10816.99",NULL,NULL,NULL,,NULL,NULL,,,"2025-06-27 22:16:04","Arya Prajapati",NULL,NULL,NULL
"861","2350449","initial",NULL,NULL,"10846.99",NULL,NULL,NULL,,NULL,NULL,,,"2025-06-27 22:16:28","Arya Prajapati",NULL,NULL,NULL
"866","2350841","initial",NULL,NULL,"28859",NULL,NULL,NULL,,NULL,NULL,,,"2025-07-01 14:51:23","Maharshi Mankodi",NULL,NULL,NULL
"867","2350841","final",NULL,NULL,"26197",NULL,NULL,NULL,,NULL,NULL,,,"2025-07-01 14:52:07","Maharshi Mankodi",NULL,NULL,NULL
"868","2351154","initial",NULL,NULL,"5811",NULL,NULL,NULL,,NULL,NULL,,,"2025-07-02 16:57:43","Sidhikka Lotlikar",NULL,NULL,NULL
"869","2351586",,NULL,"CFT2506862",,"3000","TDU32059",NULL,"12","2025-07-03 00:00:00",NULL,,"BFN","2025-07-03 23:19:06","Arya Prajapati",NULL,NULL,NULL
"870","2351586","initial",NULL,NULL,"3030",NULL,NULL,NULL,,NULL,NULL,,,"2025-07-03 23:19:25","Arya Prajapati",NULL,NULL,NULL
"871","2351547","initial",NULL,NULL,"166",NULL,NULL,NULL,,NULL,NULL,,,"2025-07-04 17:26:38","Mayur P",NULL,NULL,NULL
"874","2351482","initial",NULL,NULL,"2436",NULL,NULL,NULL,,NULL,NULL,,,"2025-07-05 17:43:20","Sidhikka Lotlikar",NULL,NULL,NULL
"875","2351637","initial",NULL,NULL,"339",NULL,NULL,NULL,,NULL,NULL,,,"2025-07-05 23:30:56","Rachana Hingorani",NULL,NULL,NULL
"877","2351579","initial",NULL,NULL,"4506",NULL,NULL,NULL,,NULL,NULL,,,"2025-07-07 13:07:45","Arya Prajapati",NULL,NULL,NULL
"879","2350960",,NULL,"CFS2503079",,"5535","TDU31634",NULL,"12","2025-07-07 00:00:00",NULL,,"BFN","2025-07-07 13:13:50","Arya Prajapati",NULL,NULL,NULL
"884","2351516","initial",NULL,NULL,"8238",NULL,NULL,NULL,,NULL,NULL,,,"2025-07-08 21:59:42","Priyanka Pandav",NULL,NULL,NULL
"885","2350587",,NULL,"PRASANNA PURPLE MOBILITY SOLUTIONS",,"10000","TDU31365 ",NULL,"12","2025-07-09 00:00:00",NULL,,"Bank transfer ","2025-07-09 15:15:51","Arya Prajapati",NULL,NULL,NULL
"886","2351516",,NULL,"FLYREMIT PRIVATE LIMITED",,"8208","TDU32010 ",NULL,"12","2025-07-09 00:00:00",NULL,,"Bank transfer ","2025-07-09 15:29:29","Arya Prajapati",NULL,NULL,NULL
"887","2351637",,NULL,"FLYREMIT PRIVATE LIMITED",,"359","TDU32097",NULL,"12","2025-07-09 00:00:00",NULL,,"Bank transfer ","2025-07-09 15:32:29","Arya Prajapati",NULL,NULL,NULL
"888","2351482",,NULL,"FLYREMIT PRIVATE LIMITED ",,"2406","TDU31991 ",NULL,"12","2025-07-09 00:00:00",NULL,,"Bank transfer ","2025-07-09 16:36:37","Arya Prajapati",NULL,NULL,NULL
"890","2351349","initial",NULL,NULL,"995",NULL,NULL,NULL,,NULL,NULL,,,"2025-07-11 23:21:34","Rachana Hingorani",NULL,NULL,NULL
"891","2351665",,NULL,"Sameer Sobti",,"832.80","TDU32124",NULL,"12","2025-07-12 00:00:00",NULL,,"Bank transfer ","2025-07-12 13:00:46","Arya Prajapati",NULL,NULL,NULL
"892","2351665",,NULL,"File on 0% markup.",,"214.2","TDU32124",NULL,"12","2025-07-12 00:00:00",NULL,,"markup Adjustment.","2025-07-12 14:29:51","Arya Prajapati",NULL,NULL,NULL
"893","2351665","initial",NULL,NULL,"1077",NULL,NULL,NULL,,NULL,NULL,,,"2025-07-12 14:30:08","Arya Prajapati",NULL,NULL,NULL
"895","2351547",,NULL,"MAKEMYTRIP INDIA PRIVATE LIMITED",,"106","TDU32034",NULL,"12","2025-07-09 00:00:00",NULL,,"Bank transfer ","2025-07-12 15:27:24","Arya Prajapati",NULL,NULL,NULL
"896","2351547",,NULL,"MAKEMYTRIP INDIA PRIVATE LIMITED",,"30","TDU32034",NULL,"12","2025-06-11 00:00:00",NULL,,"Bank transfer ","2025-07-12 15:28:01","Arya Prajapati",NULL,NULL,NULL
"897","2350998",,NULL,"MAKEMYTRIP INDIA PRIVATE LIMITED",,"1396","TDU31659 ",NULL,"12","2025-06-11 00:00:00",NULL,,"Bank transfer ","2025-07-12 15:29:38","Arya Prajapati",NULL,NULL,NULL
"898","2350587",,NULL,"PRASANNA PURPLE MOBILITY SOLUTIONS",,"10034","TDU31365",NULL,"12","2025-07-14 00:00:00",NULL,,"Bank transfer ","2025-07-14 13:35:48","Arya Prajapati",NULL,NULL,NULL
"899","2183852",,NULL,"MAKEMYTRIP INDIA PRIVATE LIMITED",,"4332.51","TDU22211G",NULL,"12","2025-06-19 00:00:00",NULL,,"Bank transfer ","2025-07-14 19:06:54","Arya Prajapati",NULL,NULL,NULL
"902","2348406","final",NULL,NULL,"3786",NULL,NULL,NULL,,NULL,NULL,,,"2025-07-16 13:57:06","Job Mathew",NULL,NULL,NULL
"903","2351349",,NULL,"FLYREMIT PRIVATE LIMITED TO",,"970","TDU31903 ",NULL,"12","2025-07-16 00:00:00",NULL,,"Bank transfer ","2025-07-16 21:01:26","Arya Prajapati",NULL,NULL,NULL
"905","2350520",,NULL,"18/07/2025	AROHAN SERVICES PRIVATE LIMITED	30000		 TDU25644G",,"30000"," TDU25644G",NULL,"12","2025-07-18 00:00:00",NULL,,"BANK TRANSFER","2025-07-18 11:49:03","Job Mathew",NULL,NULL,NULL
"906","2350536","final",NULL,NULL,"6741",NULL,NULL,NULL,,NULL,NULL,,,"2025-07-18 16:08:41","Job Mathew",NULL,NULL,NULL
"909","2351652","initial",NULL,NULL,"3163",NULL,NULL,NULL,,NULL,NULL,,,"2025-07-18 22:35:15","Sidhikka Lotlikar",NULL,NULL,NULL
"910","2351652",,NULL,"XTT975596968",,"3133","TDU32111",NULL,"12","2025-07-18 00:00:00",NULL,,"Credit card","2025-07-19 12:48:54","Arya Prajapati",NULL,NULL,NULL
"913","2351853",,NULL,"BFN: CFT2507391 - Thomas Cook",,"1766","TDU32259",NULL,"12","2025-07-19 00:00:00",NULL,,"BFN","2025-07-19 15:46:31","Arya Prajapati",NULL,NULL,NULL
"914","2351853","initial",NULL,NULL,"1796",NULL,NULL,NULL,,NULL,NULL,,,"2025-07-19 15:47:16","Arya Prajapati",NULL,NULL,NULL
"919","2351766",,NULL,,,"8518","TDU32201",NULL,"12","2025-07-21 00:00:00",NULL,,"Credit card","2025-07-22 09:28:40","Job Mathew",NULL,NULL,NULL
"921","2351390",,NULL,"XTT141040364",,"3548","TDU31935",NULL,"12","2025-07-22 00:00:00",NULL,,"Credit card","2025-07-22 17:57:37","Arya Prajapati",NULL,NULL,NULL
"922","2351390","initial",NULL,NULL,"3578",NULL,NULL,NULL,,NULL,NULL,,,"2025-07-22 17:57:51","Arya Prajapati",NULL,NULL,NULL
"923","2351822",,NULL,"XTT141040364",,"1796","TDU32237",NULL,"12","2025-07-22 00:00:00",NULL,,"Credit card","2025-07-22 17:59:42","Arya Prajapati",NULL,NULL,NULL
"924","2351822","initial",NULL,NULL,"1826",NULL,NULL,NULL,,NULL,NULL,,,"2025-07-22 17:59:55","Arya Prajapati",NULL,NULL,NULL
"927","2351345","initial",NULL,NULL,"1775",NULL,NULL,NULL,,NULL,NULL,,,"2025-07-23 19:54:18","Tausif Momin",NULL,NULL,NULL
"928","2351877","initial",NULL,NULL,"1304",NULL,NULL,NULL,,NULL,NULL,,,"2025-07-23 19:57:10","Sidhikka Lotlikar",NULL,NULL,NULL
"932","2351766","initial",NULL,NULL,"8518",NULL,NULL,NULL,,NULL,NULL,,,"2025-07-24 10:14:53","Maharshi Mankodi",NULL,NULL,NULL
"934","2351804",,NULL,"BFN :- CFS2503884
",,"5478","TDU32225",NULL,"12","2025-07-24 00:00:00",NULL,,"BFN","2025-07-24 15:25:40","Arya Prajapati",NULL,NULL,NULL
"936","2351849",,NULL,"YXX705917215",,"1029","TDU27477/TDU32257 ",NULL,"12","2025-07-17 00:00:00",NULL,,"Credit card","2025-07-24 18:41:20","Arya Prajapati",NULL,NULL,NULL
"937","2351849",,NULL,"M/S THE TRAVELLER GLOBAL PRIVATE LT",,"16139","TDU27477/TDU32257 ",NULL,"12","2025-07-23 00:00:00",NULL,,"Bank transfer ","2025-07-24 18:42:59","Arya Prajapati",NULL,NULL,NULL
"939","2348575","initial",NULL,NULL,"8862",NULL,NULL,NULL,,NULL,NULL,,,"2025-07-24 22:13:07","Priyanka Pandav",NULL,NULL,NULL
"940","2351390",,NULL,"XTT864459725",,"103.50","TDU31935",NULL,"12","2025-07-25 00:00:00",NULL,,"Credit card","2025-07-25 13:49:33","Arya Prajapati",NULL,NULL,NULL
"941","2351785",,NULL,"XTT121538977",,"966","TDU32214",NULL,"12","2025-07-25 00:00:00",NULL,,"Credit card","2025-07-25 21:29:49","Arya Prajapati",NULL,NULL,NULL
"946","2349827","initial",NULL,NULL,"30498",NULL,NULL,NULL,,NULL,NULL,,,"2025-07-28 14:03:40","Priyanka Pandav",NULL,NULL,NULL
"947","2350960","initial",NULL,NULL,"5565",NULL,NULL,NULL,,NULL,NULL,,,"2025-07-28 14:11:39","Job Mathew",NULL,NULL,NULL
"949","2351516","final",NULL,NULL,"7264",NULL,NULL,NULL,,NULL,NULL,,,"2025-07-28 15:41:55","Job Mathew",NULL,NULL,NULL
"950","2351785","initial",NULL,NULL,"1918",NULL,NULL,NULL,,NULL,NULL,,,"2025-07-28 23:05:18","Tausif Momin",NULL,NULL,NULL
"951","2351785",,NULL,"XTT852828534",,"922","TDU32214",NULL,"12","2025-07-28 00:00:00",NULL,,"Credit card","2025-07-29 14:47:55","Arya Prajapati",NULL,NULL,NULL
"952","2349827",,NULL,"MAKEMYTRIP INDIA PRIVATE LIMITED",,"32456","TDU25472G",NULL,"12","2025-07-24 00:00:00",NULL,,"Bank transfer ","2025-07-29 15:54:24","Arya Prajapati",NULL,NULL,NULL
"953","2183852",,NULL,"MAKEMYTRIP INDIA PRIVATE LIMITED",,"2712","TDU22211G",NULL,"12","2025-07-24 00:00:00",NULL,,"Bank transfer ","2025-07-29 15:57:06","Arya Prajapati",NULL,NULL,NULL
"956","2352020","initial",NULL,NULL,"380",NULL,NULL,NULL,,NULL,NULL,,,"2025-07-29 20:29:30","Mayur P",NULL,NULL,NULL
"959","2351315",,NULL,"FOXTROT INTERACTIVE PRIVATE LIMITED",,"54168","TDU25872G",NULL,"12","2025-07-30 00:00:00",NULL,,"Bank transfer ","2025-07-30 13:34:26","Arya Prajapati",NULL,NULL,NULL
"960","2352020",,NULL,"WORLDWIDE DMC LT",,"350","TDU32381",NULL,"12","2025-07-30 00:00:00",NULL,,"Bank transfer ","2025-07-30 13:36:10","Arya Prajapati",NULL,NULL,NULL
"961","2351846",,NULL,"BHASIN TRAVELS PRIVATE LIMITED",,"2090","TDU32256 ",NULL,"12","2025-07-31 00:00:00",NULL,,"Bank transfer ","2025-07-31 14:26:46","Arya Prajapati",NULL,NULL,NULL
"964","2351318","initial",NULL,NULL,"5064",NULL,NULL,NULL,,NULL,NULL,,,"2025-07-31 15:48:22","Sidhikka Lotlikar",NULL,NULL,NULL
"969","2351482","final",NULL,NULL,"2406",NULL,NULL,NULL,,NULL,NULL,,,"2025-07-31 19:48:39","Priyanka Pandav",NULL,NULL,NULL
"970","2351919","initial",NULL,NULL,"1326",NULL,NULL,NULL,,NULL,NULL,,,"2025-07-31 20:37:26","Rachana Hingorani",NULL,NULL,NULL
"971","2351584","initial",NULL,NULL,"3866",NULL,NULL,NULL,,NULL,NULL,,,"2025-07-31 20:43:59","Rachana Hingorani",NULL,NULL,NULL
"972","2352043",,NULL,"BHASIN TRAVELS PRIVATE LIMITED ",,"3798","TDU32400",NULL,"12","2025-07-31 00:00:00",NULL,,"Bank transfer ","2025-07-31 23:38:24","Arya Prajapati",NULL,NULL,NULL
"973","2352043","initial",NULL,NULL,"3425",NULL,NULL,NULL,,NULL,NULL,,,"2025-07-31 23:39:12","Arya Prajapati",NULL,NULL,NULL
"976","2351846","initial",NULL,NULL,"2120",NULL,NULL,NULL,,NULL,NULL,,,"2025-08-01 11:31:06","Maharshi Mankodi",NULL,NULL,NULL
"977","2351929","initial",NULL,NULL,"5626",NULL,NULL,NULL,,NULL,NULL,,,"2025-08-01 15:40:45","Rachana Hingorani",NULL,NULL,NULL
"983","2351958",,NULL,"XTT486228235",,"9036","TDU32342",NULL,"12","2025-08-02 00:00:00",NULL,,"Credit card","2025-08-02 19:20:21","Arya Prajapati",NULL,NULL,NULL
"984","2351958","initial",NULL,NULL,"9066",NULL,NULL,NULL,,NULL,NULL,,,"2025-08-02 19:20:50","Arya Prajapati",NULL,NULL,NULL
"985","2351835",,NULL,"TDU26023G",,"780","TDU26023G",NULL,"12","2025-08-01 00:00:00",NULL,,"BANK TRANSFER","2025-08-04 12:52:15","Job Mathew",NULL,NULL,NULL
"987","2351579","final",NULL,NULL,"4226",NULL,NULL,NULL,,NULL,NULL,,,"2025-08-04 14:08:57","Job Mathew",NULL,NULL,NULL
"988","2352010","initial",NULL,NULL,"1770",NULL,NULL,NULL,,NULL,NULL,,,"2025-08-04 15:26:16","Mayur P",NULL,NULL,NULL
"989","2351399",,NULL,"SOTC Ref no. are CFS2503466 & CFS2503430.
",,"5244","TDU31942",NULL,"12","2025-08-04 00:00:00",NULL,,"BFN","2025-08-04 16:36:20","Arya Prajapati",NULL,NULL,NULL
"990","2351399","initial",NULL,NULL,"5274",NULL,NULL,NULL,,NULL,NULL,,,"2025-08-04 16:36:54","Arya Prajapati",NULL,NULL,NULL
"993","2351579",,NULL,"Thomas Cook Ref No. : CFT2506577
",,"4476","TDU32052 ",NULL,"12","2025-08-05 00:00:00",NULL,,"BFN","2025-08-05 11:37:50","Arya Prajapati",NULL,NULL,NULL
"995","2350402","final",NULL,NULL,"5604",NULL,NULL,NULL,,NULL,NULL,,,"2025-08-05 14:06:04","Job Mathew",NULL,NULL,NULL
"997","2351835","initial",NULL,NULL,"780",NULL,NULL,NULL,,NULL,NULL,,,"2025-08-05 17:43:01","Priyanka Pandav",NULL,NULL,NULL
"998","2351835","final",NULL,NULL,"750",NULL,NULL,NULL,,NULL,NULL,,,"2025-08-05 17:43:45","Priyanka Pandav",NULL,NULL,NULL
"1000","2351969",,NULL,"BFN:CFT2506305",,"2464","TDU32347 ",NULL,"12","2025-08-05 00:00:00",NULL,,"BFN","2025-08-05 19:10:53","Arya Prajapati",NULL,NULL,NULL
"1001","2351969","initial",NULL,NULL,"2494",NULL,NULL,NULL,,NULL,NULL,,,"2025-08-05 19:11:44","Arya Prajapati",NULL,NULL,NULL
"1002","2352010",,NULL,"WILSON AND HUGHES INDIA PVT LTD",,"1690","TDU32376",NULL,"12","2025-08-05 00:00:00",NULL,,"Bank transfer ","2025-08-05 19:40:20","Arya Prajapati",NULL,NULL,NULL
"1008","2352155","initial",NULL,NULL,"1302",NULL,NULL,NULL,,NULL,NULL,,,"2025-08-06 15:55:27","Maharshi Mankodi",NULL,NULL,NULL
"1013","2351225","initial",NULL,NULL,"1989",NULL,NULL,NULL,,NULL,NULL,,,"2025-08-06 18:11:01","Lee N",NULL,NULL,NULL
"1014","2352155",,NULL,"XTT751676364",,"1272","TDU26111G",NULL,"12","2025-08-06 00:00:00",NULL,,"Credit card","2025-08-06 18:22:00","Arya Prajapati",NULL,NULL,NULL
"1015","2352155","final",NULL,NULL,"1272",NULL,NULL,NULL,,NULL,NULL,,,"2025-08-06 18:22:59","Arya Prajapati",NULL,NULL,NULL
"1016","2352010",,NULL,"8% on Kunal Ramchandani approval",,"50","TDU32376",NULL,"12","2025-08-07 00:00:00",NULL,,"markup Adjustment.","2025-08-07 11:54:20","Arya Prajapati",NULL,NULL,NULL
"1017","2351849","initial",NULL,NULL,"17658",NULL,NULL,NULL,,NULL,NULL,,,"2025-08-07 12:57:14","Arya Prajapati",NULL,NULL,NULL
"1018","2352069",,NULL,"CFT2506330",,"1108","TDU32420 ",NULL,"12","2025-08-07 00:00:00",NULL,,"BFN","2025-08-07 21:59:03","Arya Prajapati",NULL,NULL,NULL
"1019","2352069","initial",NULL,NULL,"1138",NULL,NULL,NULL,,NULL,NULL,,,"2025-08-07 21:59:17","Arya Prajapati",NULL,NULL,NULL
"1020","2351877",,NULL,"AROHAN SERVICES PRIVATE LIMITED",,"1274","TDU32278 ",NULL,"12","2025-08-08 00:00:00",NULL,,"Bank transfer ","2025-08-08 14:37:59","Arya Prajapati",NULL,NULL,NULL
"1022","2351345",,NULL,"AROHAN SERVICES PRIVATE LIMITED",,"1745","TDU31900 ",NULL,"12","2025-08-08 00:00:00",NULL,,"Bank transfer ","2025-08-08 14:48:06","Arya Prajapati",NULL,NULL,NULL
"1023","2350520",,NULL,"AROHAN SERVICES PRIVATE LIMITED",,"46981","TDU25644G",NULL,"12","2025-08-08 00:00:00",NULL,,"Bank transfer ","2025-08-08 14:50:17","Arya Prajapati",NULL,NULL,NULL
"1025","2351390","final",NULL,NULL,"3647",NULL,NULL,NULL,,NULL,NULL,,,"2025-08-08 15:31:05","Arya Prajapati",NULL,NULL,NULL
"1026","2351822",,NULL,"FLYWIRE ",,"904","TDU32237",NULL,"12","2025-08-08 00:00:00",NULL,,"Credit card","2025-08-08 15:37:43","Arya Prajapati",NULL,NULL,NULL
"1027","2351888","initial",NULL,NULL,"1618",NULL,NULL,NULL,,NULL,NULL,,,"2025-08-08 23:14:33","Mayur P",NULL,NULL,NULL
"1028","2351888","final",NULL,NULL,"1600",NULL,NULL,NULL,,NULL,NULL,,,"2025-08-08 23:15:11","Mayur P",NULL,NULL,NULL
"1031","2352226",,NULL,"XTT754652031",,"303","TDU32536 ",NULL,"12","2025-08-10 00:00:00",NULL,,"Credit card","2025-08-11 12:01:59","Arya Prajapati",NULL,NULL,NULL
"1033","2348575",,NULL,"BOHEMIAN LOVE TRAILS",,"8832","TDU30474",NULL,"12","2025-08-11 00:00:00",NULL,,"Bank transfer ","2025-08-11 15:10:09","Arya Prajapati",NULL,NULL,NULL
"1034","2352228",,NULL,"XTT353726132",,"129","TDU32537",NULL,"12","2025-08-11 00:00:00",NULL,,"Credit card","2025-08-11 21:39:34","Arya Prajapati",NULL,NULL,NULL
"1035","2352228","initial",NULL,NULL,"159",NULL,NULL,NULL,,NULL,NULL,,,"2025-08-11 21:39:42","Arya Prajapati",NULL,NULL,NULL
"1036","2352236",,NULL,"XTT954337536",,"480","TDU32539 ",NULL,"12","2025-08-11 00:00:00",NULL,,"Credit card","2025-08-11 21:44:18","Arya Prajapati",NULL,NULL,NULL
"1037","2352236","initial",NULL,NULL,"510",NULL,NULL,NULL,,NULL,NULL,,,"2025-08-11 21:58:27","Arya Prajapati",NULL,NULL,NULL
"1038","2351975","initial",NULL,NULL,"342",NULL,NULL,NULL,,NULL,NULL,,,"2025-08-11 23:04:02","Mayur P",NULL,NULL,NULL
"1041","2351895",,NULL,"BFN :CFT2507753",,"14264","TDU32292",NULL,"12","2025-08-13 00:00:00",NULL,,"BFN","2025-08-13 12:12:11","Arya Prajapati",NULL,NULL,NULL
"1044","2350960","final",NULL,NULL,"5727",NULL,NULL,NULL,,NULL,NULL,,,"2025-08-13 16:22:19","Job Mathew",NULL,NULL,NULL
"1046","2350960",,NULL,,,"192","TDU31634",NULL,"12","2025-07-16 00:00:00",NULL,,"Add on product","2025-08-13 16:32:21","Arya Prajapati",NULL,NULL,NULL
"1047","2351420","initial",NULL,NULL,"5148",NULL,NULL,NULL,,NULL,NULL,,,"2025-08-13 18:31:55","Mayur P",NULL,NULL,NULL
"1054","2350245","initial",NULL,NULL,"5926",NULL,NULL,NULL,,NULL,NULL,,,"2025-08-14 15:54:34","KUNJAN2 SHAH2",NULL,NULL,NULL
"1055","2351654","initial",NULL,NULL,"11486",NULL,NULL,NULL,,NULL,NULL,,,"2025-08-14 15:57:31","Rachana Hingorani",NULL,NULL,NULL
"1056","2351584",,NULL,"Fast Transfer From SKY BUSINESS GROUP PT",,"3836","TDU32057",NULL,"12","2025-08-14 00:00:00",NULL,,"Bank transfer ","2025-08-14 16:02:52","Arya Prajapati",NULL,NULL,NULL
"1057","2351919",,NULL,"Fast Transfer From SKY BUSINESS GROUP PT",,"1296","TDU32312",NULL,"12","2025-08-14 00:00:00",NULL,,"Bank transfer ","2025-08-14 16:03:59","Arya Prajapati",NULL,NULL,NULL
"1059","2351478","initial",NULL,NULL,"5240",NULL,NULL,NULL,,NULL,NULL,,,"2025-08-14 17:23:17","Priyanka Pandav",NULL,NULL,NULL
"1064","2352269","initial",NULL,NULL,"2548",NULL,NULL,NULL,,NULL,NULL,,,"2025-08-15 10:38:21","Job Mathew",NULL,NULL,NULL
"1066","2352269",,NULL,"TDU32561-20250813090727",,"1902","TDU32561-20250813090727",NULL,"12","2025-08-14 00:00:00",NULL,,"credit card","2025-08-15 10:40:49","Job Mathew",NULL,NULL,NULL
"1068","2351958","final",NULL,NULL,"8616",NULL,NULL,NULL,,NULL,NULL,,,"2025-08-18 15:25:12","Job Mathew",NULL,NULL,NULL
"1069","2351478",,NULL,"FLYREMIT ",,"5210","TDU31989",NULL,"12","2025-08-15 00:00:00",NULL,,"Bank transfer ","2025-08-18 15:49:06","Arya Prajapati",NULL,NULL,NULL
"1070","2351888",,NULL,"FLYREMIT ",,"1600","TDU32285",NULL,"12","2025-08-15 00:00:00",NULL,,"Bank transfer ","2025-08-18 15:57:11","Arya Prajapati",NULL,NULL,NULL
"1071","2352269",,NULL,"loss due to system error",,"616",,NULL,"12","2025-08-20 00:00:00",NULL,,"BANK TRANSFER","2025-08-19 11:19:27","Job Mathew",NULL,NULL,NULL
"1072","2351975",,NULL,"TDU32352",,"312","120-25167389/1",NULL,"12","2025-08-19 00:00:00",NULL,,"Ottila Booking guranteed.","2025-08-19 17:47:45","Arya Prajapati",NULL,NULL,NULL
"1075","2352300","initial",NULL,NULL,"2479",NULL,NULL,NULL,,NULL,NULL,,,"2025-08-20 13:38:09","Job Mathew",NULL,NULL,NULL
"1076","2352300",,NULL,"Consulate General - Credit",,"2625","Consulate General - Credit",NULL,"12","2025-08-26 00:00:00",NULL,,"BANK TRANSFER","2025-08-20 13:41:38","Job Mathew",NULL,NULL,NULL
"1077","2352416","initial",NULL,NULL,"1697",NULL,NULL,NULL,,NULL,NULL,,,"2025-08-20 14:41:36","Karthik Suriyan",NULL,NULL,NULL
"1078","2352416",,NULL,"AROHAN SERVICES PRIVATE LIMITED",,"1667","TDU32659",NULL,"12","2025-08-20 00:00:00",NULL,,"Bank transfer ","2025-08-20 14:45:16","Arya Prajapati",NULL,NULL,NULL
"1080","2352039",,NULL,"AROHAN SERVICES PRIVATE LIMITED",,"2712","TDU32397",NULL,"12","2025-08-20 00:00:00",NULL,,"Bank transfer ","2025-08-20 16:31:43","Arya Prajapati",NULL,NULL,NULL
"1081","2351833","initial",NULL,NULL,"3212",NULL,NULL,NULL,,NULL,NULL,,,"2025-08-20 17:20:05","KUNJAN2 SHAH2",NULL,NULL,NULL
"1082","2351331","initial",NULL,NULL,"9040",NULL,NULL,NULL,,NULL,NULL,,,"2025-08-21 09:54:31","Maharshi Mankodi",NULL,NULL,NULL
"1084","2351822","final",NULL,NULL,"1186",NULL,NULL,NULL,,NULL,NULL,,,"2025-08-21 13:33:25","Job Mathew",NULL,NULL,NULL
"1085","2351952",,NULL,"GAINWELL ENTERPRISES PRIVATE LTD",,"4346","TDU32336",NULL,"12","2025-08-20 00:00:00",NULL,,"Bank transfer ","2025-08-21 15:30:14","Arya Prajapati",NULL,NULL,NULL
"1086","2351851",,NULL," Gainwell Enterprises Pvt Ltd",,"3725.61","TDU32258",NULL,"12","2025-08-20 00:00:00",NULL,,"Bank transfer ","2025-08-21 15:33:02","Arya Prajapati",NULL,NULL,NULL
"1087","2351851","initial",NULL,NULL,"3638",NULL,NULL,NULL,,NULL,NULL,,,"2025-08-21 15:33:31","Arya Prajapati",NULL,NULL,NULL
"1089","2352444",,NULL,"AROHAN SERVICES PRIVATE LIMITED",,"14035","TDU32680 ",NULL,"12","2025-08-20 00:00:00",NULL,,"Bank transfer ","2025-08-21 16:53:34","Arya Prajapati",NULL,NULL,NULL
"1090","2351952","initial",NULL,NULL,"4358",NULL,NULL,NULL,,NULL,NULL,,,"2025-08-22 11:47:23","Arya Prajapati",NULL,NULL,NULL
"1091","2352040",,NULL,"YXX839260613",,"1200","TDU32398 ",NULL,"12","2025-08-22 00:00:00",NULL,,"Credit card","2025-08-22 17:32:28","Arya Prajapati",NULL,NULL,NULL
"1092","2352040","initial",NULL,NULL,"5016",NULL,NULL,NULL,,NULL,NULL,,,"2025-08-22 17:33:37","Arya Prajapati",NULL,NULL,NULL
"1094","2351251","initial",NULL,NULL,"1129.98",NULL,NULL,NULL,,NULL,NULL,,,"2025-08-22 19:47:46","KUNJAN2 SHAH2",NULL,NULL,NULL
"1095","2351420",,NULL,"SHAKTI TRAVELS",,"4949","TDU31955",NULL,"12","2025-08-22 00:00:00",NULL,,"Bank transfer ","2025-08-22 20:35:12","Arya Prajapati",NULL,NULL,NULL
"1096","2351420",,NULL,"Approved by Kunal Ramchandani
",,"169","TDU31955",NULL,"12","2025-08-22 00:00:00",NULL,,"8% Markup","2025-08-22 20:46:15","Arya Prajapati",NULL,NULL,NULL
"1097","2352158",,NULL,"CFS-2504228",,"2200","TDU32481",NULL,"12","2025-08-22 00:00:00",NULL,,"BFN","2025-08-22 20:58:16","Arya Prajapati",NULL,NULL,NULL
"1098","2352158","initial",NULL,NULL,"2230",NULL,NULL,NULL,,NULL,NULL,,,"2025-08-22 20:58:35","Arya Prajapati",NULL,NULL,NULL
